57,Columbia,convertible pants (that sounds classy),327,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,Generic,wash rag sized pack towel,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,Ice Breaker,wool short sleeve,165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,Generic,3 pair fancy socks,176,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,Generic,running shorts,165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,Hanes,boxer briefs,87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,Generic,2 hankeys,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,Generic,comb piece,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,Generic,canvas belt,124,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,Estwing,Hatchet,576,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,Morakniv,Companion,110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,Magellen,big red dry bag,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,Outdoor Products,8 liter dry bag,43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,Generic,bright green dry bag (10l ?),95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,Anker,Phone battery,119,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,Generic,camera,779,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,Samsung,Phone,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,Generic,extra tent stakes?,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,Generic,actual map of area,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,Generic,sandals,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,Generic,warm hat,78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,Generic,gloves,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,Ironman,ironman watch,43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,Description,food,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,Description,water,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,Cascade Tech,trekking pole,238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,Description,stake sack from previous configuration of tent (10 stakes,245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,Generic,steel stake,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,Generic,aluminum stake,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,Generic,shit rope,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,Generic,pole repair,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,Description,new stake setup,198,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,Generic,plastic stake,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,Generic,plastic stake,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,Generic,plastic stake,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,Coleman,coleman groundhog,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,Evernew,evernew full,2459,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,Generic,1.25 liter soda bottle full,1064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,Nalgene,Nalgene 32 full,1266,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,Description,food bag (full minus coffee filter thing),1590,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,Bush Box,bush box (white bag),155,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,Coleman,coleman plastic bag,34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,Description,whole bag (minus 3 aaa),19090,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,George Dickel,plastic flask of george dickel,501,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,Buck,buck vantage small,68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,Description,over a yard of ¼ poplar dowel rod,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,Description,Whole bag (minus shirt/pants),14570,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,Description,"Food Bag (Dishes/ food, toiletries, no trash",1117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
105,Generic,empty flask,57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106,Stanley,Stanley Adventure 24 ounce (no lid),186,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,Stanley,Stanley Adventure 24 ounce (lid only),30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,Stanley,Stanley Adventure 24 ounce,218,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
109,Walmart,stainless cookpot (walmart),139,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
110,GSI,gsi mug (no lid),89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,GSI,Gsi mug (no lid or potholder),61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
112,GSI,Gsi mug,106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113,Toaks,Toaks 650 (no lid),64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
114,Toaks,Toaks 650 (total),79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115,Toaks,Toaks 650 bag and lid,92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
116,Nalgene,nalgene bottome (cup),55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
117,Nalgene,Nalgene UVPE,108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
118,Nalgene,Nalgene 32,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
119,Nalgene,Nalgene 16,89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120,Walmart,red cup (collapsable,61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
121,Adidas,Adidas sandals,502,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122,Soloman,soloman water shoes,778,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
123,Exoficio,exoficio underwear,93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124,brand is stupid,Fallkniven and emergency blanket in oh shit kit,122,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125,brand is stupid,green bag only empty,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
126,brand is stupid,cooking grate,120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,brand is stupid,Enamelware mug small,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
128,brand is stupid,estwig hatchet,576,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
129,brand is stupid,Morakniv,110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130,brand is stupid,outdoor products 8 liter dry bag,43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
131,brand is stupid,bright green dry bag (10l ?),95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
132,brand is stupid,extra tent stakes?,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
133,brand is stupid,sandals,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
134,brand is stupid,warm hat,78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
135,brand is stupid,gloves,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
136,brand is stupid,ironman watch,43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
137,brand is stupid,stake sack from previous configuration of tent (10 stakes,245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
138,brand is stupid,steel stake,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
139,brand is stupid,aluminum stake,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
140,brand is stupid,shit rope,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141,brand is stupid,pole repair,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
142,brand is stupid,plastic stake,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
143,brand is stupid,plastic stake,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144,brand is stupid,plastic stake,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
145,brand is stupid,coleman groundhog,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
146,brand is stupid,evernew full,2459,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
147,brand is stupid,buck vantage small,68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
148,brand is stupid,Ketly Trekker 65 ,2400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
149,brand is stupid,Oh Shit kit (Repari and backup stuff),398,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150,brand is stupid,"Spare Bandana, sawyer bottle green bag",97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
151,brand is stupid,one Green Bandana,53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
152,brand is stupid,Green plastic  plate,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,brand is stupid,Coffee strainer,44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
154,brand is stupid,Marmot Sawtooth 15,1240,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155,brand is stupid,REI Passage 1 with 6 ropes 10 aluminum stakes pole brace,2090,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
156,brand is stupid,Cocoon green pillow,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
157,brand is stupid,2 blue pads,790,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
158,brand is stupid,Orange Marmot Fleece,403,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
159,brand is stupid,2 hankeys,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160,brand is stupid,Sawyer filter mix,108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
161,brand is stupid,comb piece,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
162,brand is stupid,Black Diamond Headlamp orange (rechargeable),94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
163,brand is stupid,canvas belt,124,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
