100,George Dickel,plastic flask of george dickel,501,Sloppy Import 1
101,Buck,buck vantage small,68,Sloppy Import 1
102,Description,over a yard of ¼ poplar dowel rod,21,Sloppy Import 1
103,Description,Whole bag (minus shirt/pants),14570,Sloppy Import 1
104,Description,"Food Bag (Dishes/ food, toiletries, no trash",1117,Sloppy Import 1
105,Generic,empty flask,57,Sloppy Import 1
106,Stanley,Stanley Adventure 24 ounce (no lid),186,Sloppy Import 1
107,Stanley,Stanley Adventure 24 ounce (lid only),30,Sloppy Import 1
108,Stanley,Stanley Adventure 24 ounce,218,Sloppy Import 1
109,Walmart,stainless cookpot (walmart),139,Sloppy Import 1
110,GSI,gsi mug (no lid),89,Sloppy Import 1
111,GSI,Gsi mug (no lid or potholder),61,Sloppy Import 1
112,GSI,Gsi mug,106,Sloppy Import 1
113,Toaks,Toaks 650 (no lid),64,Sloppy Import 1
114,Toaks,Toaks 650 (total),79,Sloppy Import 1
115,Toaks,Toaks 650 bag and lid,92,Sloppy Import 1
116,Nalgene,nalgene bottome (cup),55,Sloppy Import 1
117,Nalgene,Nalgene UVPE,108,Sloppy Import 1
118,Nalgene,Nalgene 32,0,Sloppy Import 1
119,Nalgene,Nalgene 16,89,Sloppy Import 1
120,Walmart,red cup (collapsable,61,Sloppy Import 1
121,Adidas,Adidas sandals,502,Sloppy Import 1
122,Soloman,soloman water shoes,778,Sloppy Import 1
123,Exoficio,exoficio underwear,93,Sloppy Import 1
